compound,const,mean,stand_dev
arcade game,arcade,3.4,1.8822478962286404
arcade game,game,4.533333333333333,1.1254628677422756
ball game,game,4.133333333333334,1.5976172734359604
ball game,ball,4.133333333333334,1.3557637102737476
bike helmet,helmet,4.0,1.6035674514745464
bike helmet,bike,3.3333333333333335,1.9518001458970664
brain food,food,2.8666666666666667,2.1668498091095505
brain food,brain,3.2666666666666666,1.6242214252050853
card game,card,4.066666666666666,1.486446705914413
card game,game,3.8666666666666667,1.9223002094465098
ceiling fan,fan,4.266666666666667,1.486446705914413
ceiling fan,ceiling,3.1333333333333333,2.133630931623591
convenience food,convenience,3.6,1.5023790657297036
convenience food,food,4.333333333333333,1.1751393027860062
dog food,dog,3.6,1.9566735620873066
dog food,food,4.066666666666666,1.6676187756655838
elimination game,game,3.933333333333333,1.8309508328682538
elimination game,elimination,3.066666666666667,1.9073791542572855
emergency equipment,equipment,4.066666666666666,1.6676187756655838
emergency equipment,emergency,4.466666666666667,1.1254628677422756
gym equipment,equipment,4.2,1.4735767952260146
gym equipment,gym,4.4,1.1832159566199232
health food,food,4.6,0.7367883976130073
health food,health,3.066666666666667,1.7511900715418263
hockey fan,hockey,3.8666666666666667,1.6846647257229665
hockey fan,fan,3.066666666666667,2.051712409068047
hockey game,game,4.266666666666667,1.2798809468443688
hockey game,hockey,4.133333333333334,1.5976172734359604
horror fan,horror,3.6,1.7237832147426693
horror fan,fan,2.933333333333333,1.98086080374405
horror game,game,4.133333333333334,1.4074631010979937
horror game,horror,3.533333333333333,1.5976172734359604
laboratory equipment,laboratory,3.933333333333333,1.7511900715418263
laboratory equipment,equipment,4.0,1.647508942095828
music fan,music,3.8666666666666667,1.5976172734359604
music fan,fan,3.0,2.0701966780270626
recording equipment,equipment,3.8,1.8973665961010275
recording equipment,recording,3.8,1.6124515496597098
safety equipment,equipment,4.2,1.424279266355945
safety equipment,safety,3.6666666666666665,1.5886502207249789
safety helmet,safety,3.1333333333333333,1.8464895909600492
safety helmet,helmet,4.0,1.6035674514745464
soul food,soul,1.6666666666666667,1.632993161855452
soul food,food,2.933333333333333,2.1536237457121516
space helmet,space,3.2666666666666666,1.98086080374405
