ID,noun_compound,component_1,component_2
0,confidentiality agreement,confidentiality,agreement
1,licensing agreement,licensing,agreement
2,plea agreement,plea,agreement
3,service agreement,service,agreement
4,tenancy agreement,tenancy,agreement
5,emergency closure,emergency,closure
6,memory loss,memory,loss
7,emotion processing,emotion,processing
8,health protection,health,protection
9,privacy protection,privacy,protection
10,service quality,service,quality
11,fantasy romance,fantasy,romance
12,fraud scheme,fraud,scheme
13,incentive scheme,incentive,scheme
14,emergency service,emergency,service
15,health service,health,service
