ID,noun_compound,component_1,component_2
0,loan agreement,loan,agreement
1,factory closure,factory,closure
2,road closure,road,closure
3,blood loss,blood,loss
4,capital loss,capital,loss
5,gambling loss,gambling,loss
6,hair loss,hair,loss
7,paper loss,paper,loss
8,food processing,food,processing
9,image processing,image,processing
10,material processing,material,processing
11,word processing,word,processing
12,consumer protection,consumer,protection
13,child protection,child,protection
14,ear protection,ear,protection
15,data quality,data,quality
16,food quality,food,quality
17,image quality,image,quality
18,water quality,water,quality
19,family romance,family,romance
20,office romance,office,romance
21,summer romance,summer,romance
22,box scheme,box,scheme
23,pension scheme,pension,scheme
24,pyramid scheme,pyramid,scheme
25,food service,food,service
26,room service,room,service
27,tea service,tea,service
