ID,noun_compound,component_1,component_2
0,family album,family,album
1,music album,music,album
2,studio album,studio,album
3,camping area,camping,area
4,dining area,dining,area
5,parking area,parking,area
6,entry barrier,entry,barrier
7,noise barrier,noise,barrier
8,pain barrier,pain,barrier
9,ticket barrier,ticket,barrier
10,glove box,glove,box
11,letter box,letter,box
12,lunch box,lunch,box
13,shoe box,shoe,box
14,tool box,tool,box
15,cup cake,cup,cake
16,fruit cake,fruit,cake
17,potato cake,potato,cake
18,rice cake,rice,cake
19,wedding cake,wedding,cake
20,bank card,bank,card
21,gift card,gift,card
22,greeting card,greeting,card
23,library card,library,card
24,case conference,case,conference
25,party conference,party,conference
26,web conference,web,conference
27,art critic,art,critic
28,food critic,food,critic
29,movie critic,movie,critic
30,music critic,music,critic
31,family day,family,day
32,field day,field,day
33,game day,game,day
34,wedding day,wedding,day
35,dog dinner,dog,dinner
36,family dinner,family,dinner
37,gala dinner,gala,dinner
38,school dinner,school,dinner
39,wine dinner,wine,dinner
40,corn dog,corn,dog
41,family dog,family,dog
42,puppy dog,puppy,dog
43,sausage dog,sausage,dog
44,sheep dog,sheep,dog
45,capital equipment,capital,equipment
46,gym equipment,gym,equipment
47,laboratory equipment,laboratory,equipment
48,recording equipment,recording,equipment
49,ceiling fan,ceiling,fan
50,hockey fan,hockey,fan
51,music fan,music,fan
52,brain food,brain,food
53,dog food,dog,food
54,street food,street,food
55,arcade game,arcade,game
56,ball game,ball,game
57,card game,card,game
58,hockey game,hockey,game
59,bike helmet,bike,helmet
60,space helmet,space,helmet
61,steel helmet,steel,helmet
62,coffee machine,coffee,machine
63,rowing machine,rowing,machine
64,sewing machine,sewing,machine
65,ticket machine,ticket,machine
66,family movie,family,movie
67,gangster movie,gangster,movie
68,road movie,road,movie
69,war movie,war,movie
70,chamber music,chamber,music
71,country music,country,music
72,folk music,folk,music
73,sheet music,sheet,music
74,ballot paper,ballot,paper
75,construction paper,construction,paper
76,rice paper,rice,paper
77,toilet paper,toilet,paper
78,dinner party,dinner,party
79,hen party,hen,party
80,street party,street,party
81,tea party,tea,party
82,wedding party,wedding,party
83,food photography,food,photography
84,portrait photography,portrait,photography
85,street photography,street,photography
86,wedding photography,wedding,photography
87,carnival queen,carnival,queen
88,ice queen,ice,queen
89,prom queen,prom,queen
90,baby shoe,baby,shoe
91,ballet shoe,ballet,shoe
92,boat shoe,boat,shoe
93,horse shoe,horse,shoe
94,tennis shoe,tennis,shoe
95,bus station,bus,station
96,hill station,hill,station
97,radio station,radio,station
98,space station,space,station
99,brain surgery,brain,surgery
100,eye surgery,eye,surgery
101,heart surgery,heart,surgery
102,tree surgery,tree,surgery
103,boat trip,boat,trip
104,field trip,field,trip
105,road trip,road,trip
106,school trip,school,trip
