ID,noun_compound,component_1,component_2
0,summer romance,summer,romance
1,noise barrier,noise,barrier
2,image quality,image,quality
3,licensing agreement,licensing,agreement
4,ballot paper,ballot,paper
5,macro photography,macro,photography
6,camping area,camping,area
7,web conference,web,conference
8,puppy dog,puppy,dog
9,horror fan,horror,fan
10,room service,room,service
11,material processing,material,processing
12,gangster movie,gangster,movie
13,way station,way,station
14,space helmet,space,helmet
15,ticket machine,ticket,machine
16,memory card,memory,card
17,health protection,health,protection
18,hen party,hen,party
19,art critic,art,critic
20,emergency surgery,emergency,surgery
21,dog food,dog,food
22,family album,family,album
23,ice queen,ice,queen
24,pension scheme,pension,scheme
25,ballet shoe,ballet,shoe
26,game day,game,day
27,country music,country,music
28,field trip,field,trip
29,laboratory equipment,laboratory,equipment
30,ball game,ball,game
31,wine dinner,wine,dinner
32,lunch box,lunch,box
33,blood loss,blood,loss
34,factory closure,factory,closure
35,fruit cake,fruit,cake
