ID,noun_compound,component_1,component_2
0,concept album,concept,album
1,family album,family,album
2,music album,music,album
3,studio album,studio,album
4,confidentiality agreement,confidentiality,agreement
5,licensing agreement,licensing,agreement
6,loan agreement,loan,agreement
7,plea agreement,plea,agreement
8,service agreement,service,agreement
9,tenancy agreement,tenancy,agreement
10,camping area,camping,area
11,conservation area,conservation,area
12,dining area,dining,area
13,language area,language,area
14,parking area,parking,area
15,service area,service,area
16,entry barrier,entry,barrier
17,language barrier,language,barrier
18,noise barrier,noise,barrier
19,pain barrier,pain,barrier
20,safety barrier,safety,barrier
21,ticket barrier,ticket,barrier
22,glove box,glove,box
23,letter box,letter,box
24,lunch box,lunch,box
25,memory box,memory,box
26,selection box,selection,box
27,shoe box,shoe,box
28,suggestion box,suggestion,box
29,tool box,tool,box
30,cup cake,cup,cake
31,fruit cake,fruit,cake
32,novelty cake,novelty,cake
33,potato cake,potato,cake
34,rice cake,rice,cake
35,wedding cake,wedding,cake
36,bank card,bank,card
37,gift card,gift,card
38,greeting card,greeting,card
39,identity card,identity,card
40,library card,library,card
41,loyalty card,loyalty,card
42,memory card,memory,card
43,emergency closure,emergency,closure
44,factory closure,factory,closure
45,road closure,road,closure
46,case conference,case,conference
47,party conference,party,conference
48,peace conference,peace,conference
49,web conference,web,conference
50,art critic,art,critic
51,culture critic,culture,critic
52,drama critic,drama,critic
53,food critic,food,critic
54,movie critic,movie,critic
55,music critic,music,critic
56,assessment day,assessment,day
57,family day,family,day
58,field day,field,day
59,game day,game,day
60,independence day,independence,day
61,wedding day,wedding,day
62,dog dinner,dog,dinner
63,family dinner,family,dinner
64,farewell dinner,farewell,dinner
65,gala dinner,gala,dinner
66,school dinner,school,dinner
67,wine dinner,wine,dinner
68,corn dog,corn,dog
69,family dog,family,dog
70,puppy dog,puppy,dog
71,sausage dog,sausage,dog
72,service dog,service,dog
73,sheep dog,sheep,dog
74,capital equipment,capital,equipment
75,emergency equipment,emergency,equipment
76,gym equipment,gym,equipment
77,laboratory equipment,laboratory,equipment
78,recording equipment,recording,equipment
79,safety equipment,safety,equipment
80,ceiling fan,ceiling,fan
81,hockey fan,hockey,fan
82,horror fan,horror,fan
83,music fan,music,fan
84,brain food,brain,food
85,convenience food,convenience,food
86,dog food,dog,food
87,health food,health,food
88,soul food,soul,food
89,street food,street,food
90,arcade game,arcade,game
91,ball game,ball,game
92,card game,card,game
93,elimination game,elimination,game
94,hockey game,hockey,game
95,horror game,horror,game
96,strategy game,strategy,game
97,bike helmet,bike,helmet
98,safety helmet,safety,helmet
99,space helmet,space,helmet
100,steel helmet,steel,helmet
101,blood loss,blood,loss
102,capital loss,capital,loss
103,gambling loss,gambling,loss
104,hair loss,hair,loss
105,memory loss,memory,loss
106,paper loss,paper,loss
107,coffee machine,coffee,machine
108,hype machine,hype,machine
109,propaganda machine,propaganda,machine
110,rowing machine,rowing,machine
111,sewing machine,sewing,machine
112,ticket machine,ticket,machine
113,family movie,family,movie
114,gangster movie,gangster,movie
115,horror movie,horror,movie
116,road movie,road,movie
117,romance movie,romance,movie
118,war movie,war,movie
119,chamber music,chamber,music
120,country music,country,music
121,folk music,folk,music
122,mood music,mood,music
123,sheet music,sheet,music
124,soul music,soul,music
125,ballot paper,ballot,paper
126,construction paper,construction,paper
127,consultation paper,consultation,paper
128,identity paper,identity,paper
129,rice paper,rice,paper
130,toilet paper,toilet,paper
131,dinner party,dinner,party
132,farewell party,farewell,party
133,hen party,hen,party
134,ruling party,ruling,party
135,street party,street,party
136,tea party,tea,party
137,wedding party,wedding,party
138,food photography,food,photography
139,macro photography,macro,photography
140,portrait photography,portrait,photography
141,spirit photography,spirit,photography
142,street photography,street,photography
143,wedding photography,wedding,photography
144,emotion processing,emotion,processing
145,food processing,food,processing
146,image processing,image,processing
147,material processing,material,processing
148,word processing,word,processing
149,consumer protection,consumer,protection
150,child protection,child,protection
151,ear protection,ear,protection
152,health protection,health,protection
153,privacy protection,privacy,protection
154,data quality,data,quality
155,food quality,food,quality
156,image quality,image,quality
157,service quality,service,quality
158,water quality,water,quality
159,drama queen,drama,queen
160,carnival queen,carnival,queen
161,ice queen,ice,queen
162,prom queen,prom,queen
163,family romance,family,romance
164,fantasy romance,fantasy,romance
165,office romance,office,romance
166,summer romance,summer,romance
167,box scheme,box,scheme
168,fraud scheme,fraud,scheme
169,incentive scheme,incentive,scheme
170,pension scheme,pension,scheme
171,pyramid scheme,pyramid,scheme
172,emergency service,emergency,service
173,food service,food,service
174,health service,health,service
175,room service,room,service
176,tea service,tea,service
177,baby shoe,baby,shoe
178,ballet shoe,ballet,shoe
179,boat shoe,boat,shoe
180,horse shoe,horse,shoe
181,safety shoe,safety,shoe
182,tennis shoe,tennis,shoe
183,bus station,bus,station
184,hill station,hill,station
185,radio station,radio,station
186,service station,service,station
187,space station,space,station
188,way station,way,station
189,brain surgery,brain,surgery
190,emergency surgery,emergency,surgery
191,eye surgery,eye,surgery
192,heart surgery,heart,surgery
193,tree surgery,tree,surgery
194,boat trip,boat,trip
195,ego trip,ego,trip
196,field trip,field,trip
197,guilt trip,guilt,trip
198,road trip,road,trip
199,school trip,school,trip
